epoch,total,score,position,dimension,angle
223,23450.0,21113.0,942.95,1050.5,343.82
224,23611.0,21258.0,958.41,1052.8,342.61
225,23511.0,21168.0,950.59,1052.4,339.66
226,23759.0,21392.0,959.78,1063.2,344.28
227,23766.0,21409.0,952.0,1060.4,344.4
228,23513.0,21168.0,943.48,1060.2,341.01
229,23726.0,21378.0,949.93,1054.7,343.13
230,23451.0,21120.0,942.34,1046.2,341.71
231,23926.0,21558.0,963.35,1059.7,344.98
232,23808.0,21480.0,948.91,1037.1,341.13
233,23877.0,21544.0,950.01,1044.2,338.21
234,23938.0,21598.0,954.18,1044.8,341.23
235,23570.0,21244.0,943.62,1044.1,338.14
236,24530.0,22146.0,978.32,1062.4,343.08
237,23952.0,21623.0,953.29,1041.0,334.59
238,23994.0,21644.0,955.44,1055.0,339.86
239,23888.0,21559.0,948.79,1045.4,333.91
240,23916.0,21573.0,957.5,1048.0,337.58
241,24129.0,21768.0,962.16,1059.5,338.68
242,23885.0,21540.0,953.11,1053.4,338.1
243,24003.0,21657.0,952.07,1057.6,335.7
244,24392.0,22016.0,971.2,1071.4,333.14
245,24741.0,22349.0,977.44,1075.7,338.69
246,24048.0,21699.0,957.3,1060.3,330.96
247,23820.0,21484.0,950.69,1052.1,333.23
248,23917.0,21579.0,956.51,1052.1,329.78
249,24203.0,21839.0,962.81,1064.8,336.98
250,23656.0,21340.0,946.59,1042.5,327.5
251,23562.0,21267.0,941.66,1028.8,324.37
252,23906.0,21590.0,950.32,1039.2,326.17
253,24133.0,21819.0,947.02,1040.9,326.19
254,24147.0,21813.0,949.9,1060.7,323.28
255,24072.0,21756.0,948.76,1039.4,328.34
256,23962.0,21659.0,950.25,1030.0,322.57
257,24105.0,21756.0,950.42,1071.2,327.44
258,23725.0,21431.0,941.04,1029.6,322.88
259,23894.0,21576.0,952.73,1046.2,318.87
260,23812.0,21514.0,943.62,1034.7,319.76
261,23602.0,21304.0,935.35,1038.3,324.04
262,23693.0,21400.0,943.31,1029.2,320.09
263,23674.0,21368.0,941.58,1045.6,319.0
264,24108.0,21776.0,942.24,1067.1,323.2
265,23942.0,21643.0,941.51,1042.7,314.14
266,23848.0,21569.0,941.61,1021.3,316.62
267,24173.0,21870.0,943.42,1043.2,316.66
268,23591.0,21322.0,929.74,1025.7,313.3
269,23683.0,21402.0,936.67,1029.5,314.96
270,23293.0,21033.0,927.36,1023.9,308.67
271,24282.0,21991.0,955.61,1025.1,310.61
272,23652.0,21385.0,932.04,1022.7,312.24
273,24112.0,21825.0,945.71,1033.6,307.23
274,23948.0,21651.0,949.5,1036.2,311.96
275,23668.0,21382.0,932.45,1046.5,307.66
276,23698.0,21458.0,925.15,1006.4,309.21
277,23666.0,21402.0,936.82,1015.0,312.71
278,23506.0,21245.0,926.42,1030.6,304.43
279,23569.0,21322.0,929.58,1012.7,305.59
280,23566.0,21330.0,923.76,1007.4,305.06
281,24335.0,22042.0,953.55,1033.9,305.75
282,23378.0,21160.0,912.7,1005.5,299.97
283,23105.0,20888.0,910.6,1008.5,298.06
284,23389.0,21150.0,920.78,1017.0,301.12
285,23296.0,21051.0,918.97,1025.7,300.56
286,23163.0,20956.0,908.83,1002.6,295.58
287,23437.0,21223.0,923.28,992.26,298.27
288,22713.0,20526.0,898.14,998.92,290.27
289,22981.0,20779.0,909.01,1000.6,292.79
290,23261.0,21056.0,913.34,995.72,295.89
291,22973.0,20788.0,898.4,998.9,287.72
292,23100.0,20908.0,907.79,998.82,285.54
293,22865.0,20678.0,899.57,994.32,293.23
294,22636.0,20472.0,894.35,985.28,284.45
295,22811.0,20637.0,901.18,986.2,286.63
296,22899.0,20712.0,898.56,997.07,290.86
297,22752.0,20596.0,895.47,976.16,284.0
298,22944.0,20776.0,902.19,979.66,286.31
299,22356.0,20220.0,882.73,972.67,280.57
300,22261.0,20115.0,881.34,984.82,279.79
301,22677.0,20542.0,888.98,964.54,281.36
302,22599.0,20474.0,879.52,965.53,280.23
303,22736.0,20577.0,888.3,989.96,281.43
304,22377.0,20243.0,881.09,973.59,279.34
305,22018.0,19919.0,871.25,947.56,279.4
306,23027.0,20865.0,896.95,989.27,275.36
307,21847.0,19737.0,864.63,968.44,276.65
308,21930.0,19830.0,870.71,949.32,279.82
309,22272.0,20131.0,875.22,988.13,277.61
310,22227.0,20099.0,869.96,982.35,275.38
311,21952.0,19855.0,867.14,958.13,271.97
312,21813.0,19746.0,856.64,943.63,266.57
313,21518.0,19449.0,851.98,945.96,271.26
314,21435.0,19386.0,849.2,930.08,269.54
315,21780.0,19714.0,859.09,933.96,273.53
316,21964.0,19894.0,865.71,938.11,266.05
317,21152.0,19127.0,837.09,923.38,264.39
318,21428.0,19391.0,838.98,931.35,266.72
319,21476.0,19451.0,841.8,925.71,257.78
320,21126.0,19115.0,833.58,917.03,260.4
321,21432.0,19402.0,840.85,929.4,259.28
322,21229.0,19213.0,832.76,922.63,260.25
323,21468.0,19436.0,844.38,928.51,259.22
324,21045.0,19062.0,828.09,899.71,255.85
325,21061.0,19060.0,833.36,908.63,258.81
326,20783.0,18804.0,824.24,899.45,255.79
327,20946.0,18957.0,824.7,910.94,253.54
328,20512.0,18545.0,813.66,905.49,247.69
329,20493.0,18548.0,805.45,886.91,252.26
330,20788.0,18808.0,821.06,909.36,249.81
331,20829.0,18876.0,815.54,887.25,249.99
332,20441.0,18498.0,809.17,883.54,250.27
333,20493.0,18563.0,807.89,875.79,246.34
334,20589.0,18632.0,811.13,888.68,257.27
