,lr
270,2.9020550518810204e-07
271,2.827543968738981e-07
272,2.7435749231978716e-07
273,2.6507781917362256e-07
274,2.549850311950107e-07
275,2.441548854301911e-07
276,2.3266867357529597e-07
277,2.2061261179621056e-07
278,2.0807719358507983e-07
279,1.951565105109592e-07
280,1.8194754596309314e-07
281,1.6854944718802524e-07
282,1.550627810846713e-07
283,1.4158877934339997e-07
284,1.2822857859515093e-07
285,1.1508246127407384e-07
286,1.0224910289181857e-07
287,8.982483137347698e-08
288,7.790290401464474e-08
289,6.657280748680459e-08
290,5.591958614523036e-08
291,4.602320368117202e-08
292,3.69579429097963e-08
293,2.879184819910995e-08
294,2.158621472502503e-08
295,1.5395128386248464e-08
296,1.0265059832419593e-08
297,6.234515652745296e-09
298,3.333749343329589e-09
299,1.5845342226943658e-09
300,1e-09
301,1.252e-07
302,1.5608608263584542e-07
303,1.5535895667782002e-07
304,1.5405586123381152e-07
305,1.5218657741306505e-07
306,1.4976513616730005e-07
307,1.4680971297358098e-07
308,1.433424914081425e-07
309,1.3938949663519213e-07
310,1.3498040006053305e-07
311,1.301482966162879e-07
312,1.2492945634843762e-07
313,1.1936305217177297e-07
314,1.1349086583574637e-07
315,1.0735697430826086e-07
316,1.0100741893141735e-07
317,9.448985983255658e-08
318,8.785321818460586e-08
319,8.114730900094548e-08
320,7.442246722105697e-08
321,6.772916989357665e-08
322,6.111765729266926e-08
323,5.463755581164474e-08
324,4.8337505464399475e-08
325,4.22647947906788e-08
326,3.646500590558141e-08
327,3.0981672357585534e-08
328,2.5855952363233703e-08
329,2.1126319871195587e-08
330,1.6828275774599403e-08
331,1.2994081439289302e-08
332,9.652516548160269e-09
333,6.828663079205505e-09
334,4.543717038748953e-09
335,2.8148293630045234e-09
336,1.6549771821637507e-09
337,1.0728664133113078e-09
338,3.1850000000000004e-08
339,7.81159493048378e-08
340,7.789894497276499e-08
341,7.73941850829006e-08
342,7.660545839196846e-08
343,7.553868512781065e-08
344,7.42018725518173e-08
345,7.260505485596266e-08
346,7.076021784558391e-08
347,6.868120897323783e-08
348,6.638363339892662e-08
349,6.388473685687063e-08
350,6.120327620803688e-08
351,5.835937865006326e-08
352,5.537439064135712e-08
353,5.227071767335244e-08
354,4.9071656093604275e-08
355,4.5801218242066006e-08
356,4.248395221308651e-08
357,3.91447575960041e-08
358,3.58086985773988e-08
359,3.250081580786844e-08
360,2.9245938445466925e-08
361,2.6068497786618006e-08
362,2.2992343883401007e-08
363,2.004056652369013e-08
364,1.7235321917880594e-08
365,1.4597666393100777e-08
366,1.2147398343211534e-08
367,9.902909620924687e-09
368,7.881047487500338e-09
369,6.096988156236134e-09
370,4.564122878938725e-09
371,3.293957430418495e-09
372,2.2960257454830854e-09
373,1.5778183566751028e-09
374,1.1447261699046645e-09
375,1e-09
376,3.145e-08
377,3.9022312530285775e-08
378,3.8844043726566986e-08
379,3.852456501263737e-08
380,3.806627441407271e-08
381,3.747261188642743e-08
382,3.67480334947306e-08
383,3.589797796600595e-08
384,3.4928825865874396e-08
385,3.3847851705662085e-08
386,3.266316933950054e-08
387,3.138367106127155e-08
388,3.001896085853854e-08
389,2.8579282324464386e-08
390,2.7075441768812744e-08
391,2.551872710516633e-08
392,2.3920823123199257e-08
393,2.2293723781974625e-08
394,2.064964218259895e-08
395,1.900091889598377e-08
396,1.7359929333811666e-08
397,1.5738990857985338e-08
398,1.415027032580179e-08
399,1.2605692764822576e-08
400,1.1116851862932121e-08
401,9.694922945450513e-09
402,8.350579092499834e-09
403,7.093911026251741e-09
404,5.9343513693873234e-09
405,4.880603843289467e-09
406,3.940577937410299e-09
407,3.121329540189051e-09
408,2.42900797714821e-09
409,1.8688098537029437e-09
410,1.4449400491424133e-09
411,1.1605801545643011e-09
412,1.0178645916693183e-09
413,8.412500000000002e-09
414,1.952907533945252e-08
415,1.9476934509258365e-08
