,0
83,6.468629863709016e-06
84,6.3914482108503056e-06
85,6.3139055373038365e-06
86,6.236021969274966e-06
87,6.157817721448235e-06
88,6.079313091740647e-06
89,6.000528456033334e-06
90,5.9214842628830054e-06
91,5.842201028214519e-06
92,5.762699329995971e-06
93,5.682999802897687e-06
94,5.603123132936487e-06
95,5.5230900521066334e-06
96,5.442921332998837e-06
97,5.362637783408731e-06
98,5.282260240936208e-06
99,5.201809567577021e-06
100,5.121306644308044e-06
101,5.04077236566762e-06
102,4.960227634332381e-06
103,4.879693355691956e-06
104,4.799190432422979e-06
105,4.718739759063791e-06
106,4.638362216591269e-06
107,4.558078667001164e-06
108,4.477909947893366e-06
109,4.397876867063511e-06
110,4.318000197102313e-06
111,4.238300670004028e-06
112,4.15879897178548e-06
113,4.079515737116995e-06
114,4.000471543966665e-06
115,3.9216869082593535e-06
116,3.843182278551765e-06
117,3.7649780307250357e-06
118,3.687094462696166e-06
119,3.6095517891496953e-06
120,3.532370136290985e-06
121,3.455569536622451e-06
122,3.379169923744135e-06
123,3.303191127179933e-06
124,3.2276528672308443e-06
125,3.1525747498565603e-06
126,3.077976261586748e-06
127,3.003876764463305e-06
128,2.9302954910149543e-06
129,2.8572515392654324e-06
130,2.7847638677765936e-06
131,2.7128512907277263e-06
132,2.641532473032321e-06
133,2.570825925493591e-06
134,2.5007500000000014e-06
135,2.4313228847620217e-06
136,2.362562599591389e-06
137,2.2944869912240577e-06
138,2.2271137286880733e-06
139,2.1604602987175873e-06
140,2.094544001214162e-06
141,2.02938194475659e-06
142,1.9649910421603536e-06
143,1.9013880060879106e-06
144,1.838589344710912e-06
145,1.7766113574255164e-06
146,1.7154701306218691e-06
147,1.6551815335088884e-06
148,1.5957612139954084e-06
149,1.537224594628758e-06
150,1.4795868685918475e-06
151,1.4228629957597673e-06
152,1.367067698816959e-06
153,1.31221545943594e-06
154,1.2583205145185798e-06
155,1.2053968525009198e-06
156,1.1534582097224649e-06
157,1.1025180668609193e-06
158,1.052589645433284e-06
159,1.003685904364197e-06
160,9.558195366224508e-07
161,9.090029659265359e-07
162,8.632483435200535e-07
163,8.185675450178714e-07
164,7.749721673237989e-07
165,7.3247352562061e-07
166,6.910826504331948e-07
167,6.508102847655749e-07
168,6.116668813125672e-07
169,5.736625997467787e-07
170,5.368073040816626e-07
171,5.011105601113218e-07
172,4.665816329276983e-07
173,4.3322948451581644e-07
174,4.0106277142770835e-07
175,3.700898425355972e-07
176,3.403187368649484e-07
177,3.117571815079451e-07
178,2.8441258961791367e-07
179,2.5829205848524677e-07
180,2.3340236769529318e-07
181,2.0974997736872345e-07
182,1.8734102648480097e-07
183,1.661813312880116e-07
184,1.4627638377845297e-07
185,1.2763135028639233e-07
186,1.1025107013133846e-07
187,9.414005436600253e-08
188,7.930248460544815e-08
189,6.574221194175473e-08
190,5.3462755944470474e-08
191,4.246730374710063e-08
192,3.275870921989421e-08
193,2.4339492229115684e-08
194,1.7211837983017456e-08
195,1.1377596464666459e-08
196,6.83828195178351e-09
197,3.595072623709841e-09
198,1.6488102556123023e-09
199,1e-09
200,1.0008000000000002e-06
201,2.0006000000000004e-06
202,3.0004000000000005e-06
203,4.0002e-06
204,5e-06
205,4.999675627315951e-06
206,4.998702593454754e-06
207,4.997081150967401e-06
208,4.994811720699384e-06
209,4.991894891681458e-06
210,4.988331420976763e-06
211,4.984122233484324e-06
212,4.979268421698995e-06
213,4.973771245427903e-06
214,4.967632131463464e-06
215,4.960852673213058e-06
216,4.953434630285464e-06
217,4.9453799280341474e-06
218,4.936690657057539e-06
219,4.927369072656418e-06
220,4.917417594248549e-06
221,4.906838804740723e-06
222,4.8956354498583615e-06
223,4.883810437432867e-06
224,4.87136683664689e-06
225,4.8583078772377285e-06
226,4.844636948659045e-06
227,4.8303575992011335e-06
228,4.8154735350699625e-06
229,4.799988619425232e-06
230,4.783906871377681e-06
231,4.767232464945938e-06
232,4.749969727973147e-06
233,4.732123141003678e-06
234,4.713697336120198e-06
235,4.694697095741423e-06
236,4.675127351380828e-06
237,4.6549931823666835e-06
238,4.63429981452371e-06
239,4.613052618816716e-06
240,4.591257109956562e-06
241,4.568918944968822e-06
242,4.546043921725499e-06
243,4.5226379774401816e-06
244,4.498707187127052e-06
245,4.474257762024104e-06
246,4.449296047981025e-06
247,4.423828523812123e-06
248,4.397861799614752e-06
249,4.371402615053667e-06
250,4.344457837611736e-06
251,4.317034460807483e-06
252,4.289139602379931e-06
253,4.260780502441181e-06
254,4.2319645215972445e-06
255,4.2026991390376e-06
256,4.172991950593966e-06
257,4.142850666768805e-06
258,4.112283110734059e-06
259,4.081297216300645e-06
260,4.049901025859241e-06
261,4.018102688292869e-06
262,3.985910456861868e-06
263,3.9533326870617474e-06
264,3.920377834454524e-06
265,3.88705445247408e-06
266,3.853371190206115e-06
267,3.819336790143279e-06
268,3.7849600859160582e-06
