epoch,score,position,dimension,angle,total
195,112020.0,6009.0,6189.2,1991.8,126210.0
196,111880.0,6020.3,6210.0,1994.7,126100.0
197,111730.0,5998.3,6182.6,1983.4,125890.0
198,112630.0,6062.5,6239.7,2000.5,126930.0
199,113230.0,6042.3,6288.8,2008.3,127570.0
200,111270.0,5987.2,6183.1,1988.7,125430.0
201,110640.0,5944.8,6121.5,1985.5,124690.0
202,111250.0,5978.0,6182.4,1989.9,125400.0
203,111390.0,5980.8,6188.6,1988.7,125550.0
204,111230.0,5992.3,6183.7,1981.6,125390.0
205,111940.0,5985.5,6202.5,1996.8,126120.0
206,110480.0,5949.1,6157.2,1989.0,124580.0
207,110840.0,5976.8,6154.9,1997.5,124970.0
208,110420.0,5928.7,6147.2,1983.1,124480.0
209,111640.0,5984.6,6169.0,1986.3,125780.0
210,109620.0,5935.7,6171.7,1992.8,123720.0
211,111460.0,6007.8,6236.0,2003.7,125700.0
212,109350.0,5909.6,6185.1,1969.9,123420.0
213,109390.0,5904.2,6134.6,1986.4,123420.0
214,109010.0,5880.0,6156.9,1963.2,123010.0
215,109520.0,5891.0,6130.1,1976.9,123510.0
216,109440.0,5909.6,6152.6,1973.3,123470.0
217,109190.0,5878.1,6145.3,1980.9,123200.0
218,108440.0,5848.6,6106.3,1974.3,122370.0
219,108740.0,5865.6,6184.2,1985.8,122780.0
220,107970.0,5808.2,6125.6,1971.5,121880.0
221,108820.0,5862.1,6144.4,1980.4,122810.0
222,108640.0,5832.1,6123.4,1963.5,122560.0
223,108110.0,5819.2,6144.3,1965.4,122040.0
224,108130.0,5857.8,6171.3,1984.4,122140.0
225,107750.0,5811.9,6109.9,1970.5,121640.0
226,108380.0,5844.2,6112.3,1973.8,122310.0
227,107760.0,5811.6,6116.9,1968.2,121660.0
228,108220.0,5847.5,6143.4,1989.7,122200.0
229,107990.0,5815.0,6146.1,1959.9,121910.0
230,107330.0,5769.1,6099.5,1952.0,121150.0
231,107000.0,5770.9,6092.1,1956.9,120820.0
232,108110.0,5825.5,6158.4,1971.5,122070.0
233,107060.0,5798.6,6168.7,1967.1,121000.0
234,107410.0,5813.7,6150.2,1983.5,121350.0
235,106570.0,5760.3,6101.1,1963.7,120390.0
236,107070.0,5787.8,6135.5,1964.7,120960.0
237,106600.0,5770.3,6115.2,1961.0,120450.0
238,107600.0,5794.5,6196.3,1976.1,121570.0
239,106150.0,5737.3,6134.7,1954.9,119980.0
240,106140.0,5755.4,6132.2,1971.7,120000.0
241,106190.0,5752.6,6092.2,1965.3,120000.0
242,106200.0,5740.7,6124.5,1966.5,120030.0
243,106020.0,5728.9,6107.8,1960.6,119820.0
244,105600.0,5725.7,6075.2,1958.2,119360.0
245,105960.0,5724.0,6116.8,1950.9,119750.0
246,106690.0,5764.5,6103.4,1968.1,120520.0
247,105380.0,5714.6,6116.1,1952.5,119170.0
248,106120.0,5738.1,6159.2,1965.8,119980.0
249,105840.0,5748.7,6133.5,1968.4,119690.0
250,105700.0,5720.5,6130.3,1961.1,119520.0
251,105150.0,5708.4,6085.2,1959.2,118900.0
252,104800.0,5692.5,6088.6,1963.6,118540.0
253,104890.0,5667.9,6063.8,1958.0,118580.0
254,104840.0,5680.8,6057.3,1946.7,118530.0
255,104200.0,5648.9,6075.8,1947.0,117870.0
256,104490.0,5669.9,6100.9,1940.2,118200.0
257,103790.0,5640.4,6108.4,1949.0,117490.0
258,103940.0,5637.0,6082.3,1946.3,117610.0
259,104080.0,5657.5,6107.0,1956.9,117800.0
260,104140.0,5646.9,6077.7,1953.1,117820.0
261,103690.0,5639.3,6092.6,1938.9,117360.0
262,104130.0,5676.5,6135.5,1951.1,117890.0
263,103390.0,5597.6,6075.0,1948.9,117010.0
264,104110.0,5661.8,6110.8,1955.7,117840.0
265,103200.0,5607.5,6045.9,1943.2,116800.0
266,103590.0,5600.7,6022.7,1932.8,117150.0
267,102300.0,5574.2,6031.4,1936.5,115850.0
268,103930.0,5635.1,6098.4,1946.6,117610.0
269,102650.0,5574.7,6057.7,1933.6,116220.0
270,102960.0,5603.7,6051.0,1938.2,116560.0
271,103140.0,5594.2,6055.7,1939.1,116730.0
272,101960.0,5568.1,6054.3,1942.8,115520.0
273,102990.0,5595.2,6072.2,1944.9,116600.0
274,102500.0,5566.2,6089.3,1936.2,116090.0
275,102630.0,5598.9,6104.4,1947.4,116280.0
276,101940.0,5591.1,6116.7,1956.4,115610.0
277,103090.0,5587.1,6055.6,1943.1,116670.0
278,102600.0,5579.3,6088.7,1947.9,116220.0
279,100670.0,5510.2,6029.7,1932.1,114140.0
280,101410.0,5508.2,6040.5,1926.4,114880.0
281,101270.0,5531.9,6060.3,1934.0,114790.0
282,101880.0,5534.4,6062.8,1931.2,115400.0
283,101680.0,5535.4,6029.5,1934.8,115180.0
284,101060.0,5522.8,6069.5,1935.7,114590.0
285,101420.0,5521.3,6040.6,1936.8,114920.0
286,101870.0,5566.3,6048.3,1945.4,115430.0
287,101240.0,5509.8,6063.7,1926.3,114740.0
288,100600.0,5490.5,6036.3,1928.5,114060.0
289,101300.0,5503.5,6026.6,1939.0,114770.0
290,100740.0,5523.3,6053.7,1940.9,114260.0
291,100650.0,5494.6,6005.0,1922.6,114070.0
292,100410.0,5467.9,6004.1,1917.8,113800.0
