epoch,total,score,position,dimension,angle
218,25593.0,22890.0,1075.7,1244.9,383.11
219,25474.0,22771.0,1071.2,1248.4,383.29
220,25590.0,22884.0,1074.9,1250.1,380.85
221,25586.0,22877.0,1074.6,1250.3,383.94
222,25466.0,22763.0,1072.8,1246.7,383.4
223,25251.0,22564.0,1063.9,1243.3,380.07
224,25238.0,22565.0,1059.3,1234.8,378.84
225,25410.0,22726.0,1066.1,1237.3,380.43
226,25277.0,22594.0,1063.1,1238.1,381.09
227,25096.0,22434.0,1055.8,1229.2,376.56
228,24960.0,22295.0,1050.0,1235.8,379.15
229,25221.0,22534.0,1059.0,1244.0,383.03
230,25098.0,22425.0,1054.0,1240.1,379.02
231,25006.0,22346.0,1051.1,1229.2,380.17
232,25006.0,22333.0,1052.3,1240.2,380.71
233,25156.0,22477.0,1058.7,1239.1,380.68
234,25041.0,22376.0,1051.9,1233.6,379.12
235,24782.0,22137.0,1041.7,1225.4,378.07
236,24701.0,22046.0,1041.2,1233.5,380.57
237,24823.0,22165.0,1044.4,1234.5,379.81
238,24766.0,22117.0,1042.1,1230.7,376.85
239,24955.0,22288.0,1050.4,1237.5,379.44
240,24868.0,22196.0,1052.1,1239.4,381.1
241,24962.0,22290.0,1053.5,1236.9,381.11
242,24758.0,22103.0,1042.7,1232.2,379.56
243,24675.0,22023.0,1040.6,1232.8,378.6
244,24798.0,22148.0,1043.5,1230.0,376.93
245,24750.0,22093.0,1042.3,1235.6,378.5
246,24758.0,22101.0,1041.2,1236.1,379.78
247,24841.0,22172.0,1049.3,1239.8,379.92
248,24637.0,21991.0,1040.9,1228.8,376.3
249,24697.0,22046.0,1041.1,1232.3,378.13
250,24769.0,22115.0,1042.0,1234.1,377.48
251,24770.0,22101.0,1045.0,1244.0,379.86
252,24832.0,22173.0,1047.9,1232.4,378.94
253,24978.0,22318.0,1047.8,1234.6,378.03
254,24826.0,22179.0,1043.9,1226.9,376.29
255,24888.0,22232.0,1043.5,1234.1,378.2
256,24984.0,22311.0,1050.0,1243.0,380.24
257,24997.0,22325.0,1050.2,1241.0,380.62
258,24929.0,22270.0,1047.9,1232.9,378.83
